iscb, rack, shelf
iscb1, 01/14, 1/2
iscb2, 01/14, 1/3
iscb3, 01/14, 1/4
iscb4, 01/14, 1/5
iscb5, 01/14, 1/6
iscb6, 01/14, 1/7
iscb7, 02/15, 1/2
iscb8, 02/15, 1/3
iscb9, 02/15, 1/4
iscb10, 02/15, 1/5
iscb11, 02/15, 1/6
iscb12, 02/15, 1/7
iscb13, 03/16, 1/2
iscb14, 03/16, 1/3
iscb15, 03/16, 1/4
iscb16, 03/16, 1/5
iscb17, 03/16, 1/6
iscb18, 03/16, 1/7
iscb19, 04/17, 1/2
iscb20, 04/17, 1/3
iscb21, 04/17, 1/4
iscb22, 04/17, 1/5
iscb23, 04/17, 1/6
iscb24, 04/17, 1/7
iscb25, 05/18, 1/2
iscb26, 05/18, 1/3
iscb27, 05/18, 1/4
iscb28, 05/18, 1/5
iscb29, 05/18, 1/6
iscb30, 05/18, 1/7
iscb31, 06/19, 1/2
iscb32, 06/19, 1/3
iscb33, 06/19, 1/4
iscb34, 06/19, 1/5
iscb35, 06/19, 1/6
iscb36, 06/19, 1/7
iscb37, 07/20, 1/7
iscb38, 08/21, 1/2
iscb39, 08/21, 1/3
iscb40, 08/21, 1/4
iscb41, 08/21, 1/5
iscb42, 08/21, 1/6
iscb43, 08/21, 1/7
iscb44, 09/22, 1/2
iscb45, 09/22, 1/3
iscb46, 09/22, 1/4
iscb47, 09/22, 1/5
iscb48, 09/22, 1/6
iscb49, 09/22, 1/7
iscb50, 10/23, 1/2
iscb51, 10/23, 1/3
iscb52, 10/23, 1/4
iscb53, 10/23, 1/5
iscb54, 10/23, 1/6
iscb55, 10/23, 1/7
iscb56, 11/24, 1/2
iscb57, 11/24, 1/3
iscb58, 11/24, 1/4
iscb59, 11/24, 1/5
iscb60, 11/24, 1/6
iscb61, 11/24, 1/7
iscb62, 12/25, 1/2
iscb63, 12/25, 1/3
iscb64, 12/25, 1/5
iscb65, 12/25, 1/7
iscb66, 13/26, 1/1
iscb67, 13/26, 1/2
iscb68, 13/26, 1/4
iscb69, 13/26, 1/6
iscb70, 13/26, 1/7
iscb71, 01/14, 2/2
iscb72, 01/14, 2/3
iscb73, 01/14, 2/4
iscb74, 01/14, 2/5
iscb75, 01/14, 2/6
iscb76, 01/14, 2/7
iscb77, 02/15, 2/2
iscb78, 02/15, 2/3
iscb79, 02/15, 2/4
iscb80, 02/15, 2/5
iscb81, 02/15, 2/6
iscb82, 02/15, 2/7
iscb83, 03/16, 2/2
iscb84, 03/16, 2/3
iscb85, 03/16, 2/4
iscb86, 03/16, 2/5
iscb87, 03/16, 2/6
iscb88, 03/16, 2/7
iscb89, 04/17, 2/2
iscb90, 04/17, 2/3
iscb91, 04/17, 2/4
iscb92, 04/17, 2/5
iscb93, 04/17, 2/6
iscb94, 04/17, 2/7
iscb95, 05/18, 2/2
iscb96, 05/18, 2/3
iscb97, 05/18, 2/4
iscb98, 05/18, 2/5
iscb99, 05/18, 2/6
iscb100, 05/18, 2/7
iscb101, 06/19, 2/2
iscb102, 06/19, 2/3
iscb103, 06/19, 2/4
iscb104, 06/19, 2/5
iscb105, 06/19, 2/6
iscb106, 06/19, 2/7
iscb107, 07/20, 2/7
iscb108, 08/21, 2/2
iscb109, 08/21, 2/3
iscb110, 08/21, 2/4
iscb111, 08/21, 2/5
iscb112, 08/21, 2/6
iscb113, 08/21, 2/7
iscb114, 09/22, 2/2
iscb115, 09/22, 2/3
iscb116, 09/22, 2/4
iscb117, 09/22, 2/5
iscb118, 09/22, 2/6
iscb119, 09/22, 2/7
iscb120, 10/23, 2/2
iscb121, 10/23, 2/3
iscb122, 10/23, 2/4
iscb123, 10/23, 2/5
iscb124, 10/23, 2/6
iscb125, 10/23, 2/7
iscb126, 11/24, 2/2
iscb127, 11/24, 2/3
iscb128, 11/24, 2/4
iscb129, 11/24, 2/5
iscb130, 11/24, 2/6
iscb131, 11/24, 2/7
iscb132, 12/25, 2/2
iscb133, 12/25, 2/3
iscb134, 12/25, 2/5
iscb135, 12/25, 2/7
iscb136, 13/26, 2/1
iscb137, 13/26, 2/2
iscb138, 13/26, 2/4
iscb139, 13/26, 2/6
iscb140, 13/26, 2/7
