nid,hex,node,type,arch,os,cores,availmem,pagesz,clockmhz,cpu,slot,cage,cabinet,cab_position,cab_row,x_coord,y_coord,z_coord,processor_type,alloc_mode,process_slots,process_slots_free,processor_spec,next_red_black_switch,od_allocator_id
0,0x0,c0-0c0s0n0,service,xt,service,6,16000,4096,2200,0,0,0,NULL,0,0,0,0,0,service,batch,36,6,NULL,NULL,1
1,0x1,c0-0c0s0n1,service,xt,service,6,16000,4096,2200,1,0,0,NULL,0,0,0,0,0,service,batch,4,4,NULL,NULL,2
2,0x2,c0-0c0s1n0,compute,xt,cnl,16,32000,4096,2400,0,1,0,NULL,0,0,0,0,1,compute,batch,4,4,NULL,NULL,3
3,0x3,c0-0c0s1n1,compute,xt,cnl,16,32000,4096,2400,1,1,0,NULL,0,0,0,0,1,compute,batch,4,4,NULL,NULL,4
4,0x4,c0-0c0s2n0,service,xt,service,6,16000,4096,2200,0,2,0,NULL,0,0,0,0,2,service,batch,4,4,NULL,NULL,13
5,0x5,c0-0c0s2n1,service,xt,service,6,16000,4096,2200,1,2,0,NULL,0,0,0,0,2,service,batch,4,4,NULL,NULL,14
6,0x6,c0-0c0s3n0,compute,xt,cnl,16,32000,4096,2400,0,3,0,NULL,0,0,0,0,3,compute,batch,4,4,NULL,NULL,15
7,0x7,c0-0c0s3n1,compute,xt,cnl,16,32000,4096,2400,1,3,0,NULL,0,0,0,0,3,compute,batch,4,4,NULL,NULL,16
8,0x8,c0-0c0s4n0,service,xt,service,6,16000,4096,2200,0,4,0,NULL,0,0,0,0,4,service,other,4,4,NULL,NULL,25
9,0x9,c0-0c0s4n1,service,xt,service,6,16000,4096,2200,1,4,0,NULL,0,0,0,0,4,service,batch,4,4,NULL,NULL,26
10,0xa,c0-0c0s5n0,compute,xt,cnl,16,32000,4096,2400,0,5,0,NULL,0,0,0,0,5,compute,batch,4,4,NULL,NULL,27
11,0xb,c0-0c0s5n1,compute,xt,cnl,16,32000,4096,2400,1,5,0,NULL,0,0,0,0,5,compute,batch,4,4,NULL,NULL,28
12,0xc,c0-0c0s6n0,compute,xt,cnl,16,32000,4096,2400,0,6,0,NULL,0,0,0,0,6,compute,batch,4,4,NULL,NULL,37
13,0xd,c0-0c0s6n1,compute,xt,cnl,16,32000,4096,2400,1,6,0,NULL,0,0,0,0,6,compute,batch,4,4,NULL,NULL,38
14,0xe,c0-0c0s7n0,compute,xt,cnl,16,32000,4096,2400,0,7,0,NULL,0,0,0,0,7,compute,batch,4,4,NULL,NULL,39
15,0xf,c0-0c0s7n1,compute,xt,cnl,16,32000,4096,2400,1,7,0,NULL,0,0,0,0,7,compute,batch,4,4,NULL,NULL,40
16,0x10,c0-0c0s7n2,compute,xt,cnl,16,32000,4096,2400,2,7,0,NULL,0,0,0,1,7,compute,batch,4,4,NULL,NULL,87
17,0x11,c0-0c0s7n3,compute,xt,cnl,16,32000,4096,2400,3,7,0,NULL,0,0,0,1,7,compute,batch,4,4,NULL,NULL,88
18,0x12,c0-0c0s6n2,compute,xt,cnl,16,32000,4096,2400,2,6,0,NULL,0,0,0,1,6,compute,batch,4,4,NULL,NULL,85
19,0x13,c0-0c0s6n3,compute,xt,cnl,16,32000,4096,2400,3,6,0,NULL,0,0,0,1,6,compute,batch,4,4,NULL,NULL,86
20,0x14,c0-0c0s5n2,compute,xt,cnl,16,32000,4096,2400,2,5,0,NULL,0,0,0,1,5,compute,batch,4,4,NULL,NULL,75
21,0x15,c0-0c0s5n3,compute,xt,cnl,16,32000,4096,2400,3,5,0,NULL,0,0,0,1,5,compute,batch,4,4,NULL,NULL,76
22,0x16,c0-0c0s4n2,service,xt,service,6,16000,4096,2200,2,4,0,NULL,0,0,0,1,4,service,batch,4,4,NULL,NULL,73
