host,row,col,rack,shelf,slot,x,y,z,section,ibport,partner,bootnode
eth1,,,,,,,,,,,,
f11-cmm1,f,11,f11,1,,0,0,,,,,
f11-cmm2,f,11,f11,2,,0,0,,,,,
f11-cmm3,f,11,f11,3,,0,1,,,,,
f11-cmm4,f,11,f11,4,,0,1,,,,,
jumpnode1,,,,,,,,,,,,cabeggi
jumpnode1-ilom,,,,,,,,,,,,
monitor1,,,,,,,,,,,,cabeggi
monitor1-ilom,,,,,,,,,,,,
rd1,f,11,f11,1,0,0,0,0,,16,rd2,rdboot1
rd1-sp,f,11,f11,1,0,0,0,0,,16,rd2,rdboot1
rd10,f,11,f11,1,4,0,0,0,,25,rd9,rdboot1
rd10-sp,f,11,f11,1,4,0,0,0,,25,rd9,rdboot1
rd11,f,11,f11,1,5,0,0,0,,26,rd12,rdboot1
rd11-sp,f,11,f11,1,5,0,0,0,,26,rd12,rdboot1
rd12,f,11,f11,1,5,0,0,0,,27,rd11,rdboot1
rd12-sp,f,11,f11,1,5,0,0,0,,27,rd11,rdboot1
rd13,f,11,f11,1,6,0,0,1,,16,rd14,rdboot1
rd13-sp,f,11,f11,1,6,0,0,1,,16,rd14,rdboot1
rd14,f,11,f11,1,6,0,0,1,,17,rd13,rdboot1
rd14-sp,f,11,f11,1,6,0,0,1,,17,rd13,rdboot1
rd15,f,11,f11,1,7,0,0,1,,18,rd16,rdboot1
rd15-sp,f,11,f11,1,7,0,0,1,,18,rd16,rdboot1
rd16,f,11,f11,1,7,0,0,1,,19,rd15,rdboot1
rd16-sp,f,11,f11,1,7,0,0,1,,19,rd15,rdboot1
rd17,f,11,f11,1,8,0,0,1,,20,rd18,rdboot1
rd17-sp,f,11,f11,1,8,0,0,1,,20,rd18,rdboot1
rd18,f,11,f11,1,8,0,0,1,,21,rd17,rdboot1
rd18-sp,f,11,f11,1,8,0,0,1,,21,rd17,rdboot1
rd19,f,11,f11,1,9,0,0,1,,22,rd20,rdboot1
rd19-sp,f,11,f11,1,9,0,0,1,,22,rd20,rdboot1
