host,port,direction,dest,link,dlink,connection
a1-nem1-a,10,+x,a3-nem1-a,"a1-nem1-a,+x (10) <--> a3-nem1-a,-x (13)","a1-nem1-a,+x (10) <--> a3-nem1-a,-x (13)","a1-nem1-a,+x <--> a3-nem1-a,-x"
a1-nem1-b,10,+x,a3-nem1-b,"a1-nem1-b,+x (10) <--> a3-nem1-b,-x (13)","a1-nem1-b,+x (10) <--> a3-nem1-b,-x (13)","a1-nem1-b,+x <--> a3-nem1-b,-x"
a1-nem2-a,10,+x,a3-nem2-a,"a1-nem2-a,+x (10) <--> a3-nem2-a,-x (13)","a1-nem2-a,+x (10) <--> a3-nem2-a,-x (13)","a1-nem2-a,+x <--> a3-nem2-a,-x"
a1-nem2-b,10,+x,a3-nem2-b,"a1-nem2-b,+x (10) <--> a3-nem2-b,-x (13)","a1-nem2-b,+x (10) <--> a3-nem2-b,-x (13)","a1-nem2-b,+x <--> a3-nem2-b,-x"
a1-nem3-a,10,+x,a3-nem3-a,"a1-nem3-a,+x (10) <--> a3-nem3-a,-x (13)","a1-nem3-a,+x (10) <--> a3-nem3-a,-x (13)","a1-nem3-a,+x <--> a3-nem3-a,-x"
a1-nem3-b,10,+x,a3-nem3-b,"a1-nem3-b,+x (10) <--> a3-nem3-b,-x (13)","a1-nem3-b,+x (10) <--> a3-nem3-b,-x (13)","a1-nem3-b,+x <--> a3-nem3-b,-x"
a1-nem4-a,10,+x,a3-nem4-a,"a1-nem4-a,+x (10) <--> a3-nem4-a,-x (13)","a1-nem4-a,+x (10) <--> a3-nem4-a,-x (13)","a1-nem4-a,+x <--> a3-nem4-a,-x"
a1-nem4-b,10,+x,a3-nem4-b,"a1-nem4-b,+x (10) <--> a3-nem4-b,-x (13)","a1-nem4-b,+x (10) <--> a3-nem4-b,-x (13)","a1-nem4-b,+x <--> a3-nem4-b,-x"
a2-nem1-a,10,+x,a4-nem1-a,"a2-nem1-a,+x (10) <--> a4-nem1-a,-x (13)","a2-nem1-a,+x (10) <--> a4-nem1-a,-x (13)","a2-nem1-a,+x <--> a4-nem1-a,-x"
a2-nem1-b,10,+x,a4-nem1-b,"a2-nem1-b,+x (10) <--> a4-nem1-b,-x (13)","a2-nem1-b,+x (10) <--> a4-nem1-b,-x (13)","a2-nem1-b,+x <--> a4-nem1-b,-x"
a2-nem2-a,10,+x,a4-nem2-a,"a2-nem2-a,+x (10) <--> a4-nem2-a,-x (13)","a2-nem2-a,+x (10) <--> a4-nem2-a,-x (13)","a2-nem2-a,+x <--> a4-nem2-a,-x"
a2-nem2-b,10,+x,a4-nem2-b,"a2-nem2-b,+x (10) <--> a4-nem2-b,-x (13)","a2-nem2-b,+x (10) <--> a4-nem2-b,-x (13)","a2-nem2-b,+x <--> a4-nem2-b,-x"
a2-nem3-a,10,+x,a4-nem3-a,"a2-nem3-a,+x (10) <--> a4-nem3-a,-x (13)","a2-nem3-a,+x (10) <--> a4-nem3-a,-x (13)","a2-nem3-a,+x <--> a4-nem3-a,-x"
a2-nem3-b,10,+x,a4-nem3-b,"a2-nem3-b,+x (10) <--> a4-nem3-b,-x (13)","a2-nem3-b,+x (10) <--> a4-nem3-b,-x (13)","a2-nem3-b,+x <--> a4-nem3-b,-x"
a2-nem4-a,10,+x,a4-nem4-a,"a2-nem4-a,+x (10) <--> a4-nem4-a,-x (13)","a2-nem4-a,+x (10) <--> a4-nem4-a,-x (13)","a2-nem4-a,+x <--> a4-nem4-a,-x"
a2-nem4-b,10,+x,a4-nem4-b,"a2-nem4-b,+x (10) <--> a4-nem4-b,-x (13)","a2-nem4-b,+x (10) <--> a4-nem4-b,-x (13)","a2-nem4-b,+x <--> a4-nem4-b,-x"
a3-nem1-a,10,+x,a5-nem1-a,"a3-nem1-a,+x (10) <--> a5-nem1-a,-x (13)","a3-nem1-a,+x (10) <--> a5-nem1-a,-x (13)","a3-nem1-a,+x <--> a5-nem1-a,-x"
a3-nem1-b,10,+x,a5-nem1-b,"a3-nem1-b,+x (10) <--> a5-nem1-b,-x (13)","a3-nem1-b,+x (10) <--> a5-nem1-b,-x (13)","a3-nem1-b,+x <--> a5-nem1-b,-x"
a3-nem2-a,10,+x,a5-nem2-a,"a3-nem2-a,+x (10) <--> a5-nem2-a,-x (13)","a3-nem2-a,+x (10) <--> a5-nem2-a,-x (13)","a3-nem2-a,+x <--> a5-nem2-a,-x"
a3-nem2-b,10,+x,a5-nem2-b,"a3-nem2-b,+x (10) <--> a5-nem2-b,-x (13)","a3-nem2-b,+x (10) <--> a5-nem2-b,-x (13)","a3-nem2-b,+x <--> a5-nem2-b,-x"
a3-nem3-a,10,+x,a5-nem3-a,"a3-nem3-a,+x (10) <--> a5-nem3-a,-x (13)","a3-nem3-a,+x (10) <--> a5-nem3-a,-x (13)","a3-nem3-a,+x <--> a5-nem3-a,-x"
a3-nem3-b,10,+x,a5-nem3-b,"a3-nem3-b,+x (10) <--> a5-nem3-b,-x (13)","a3-nem3-b,+x (10) <--> a5-nem3-b,-x (13)","a3-nem3-b,+x <--> a5-nem3-b,-x"
a3-nem4-a,10,+x,a5-nem4-a,"a3-nem4-a,+x (10) <--> a5-nem4-a,-x (13)","a3-nem4-a,+x (10) <--> a5-nem4-a,-x (13)","a3-nem4-a,+x <--> a5-nem4-a,-x"
a3-nem4-b,10,+x,a5-nem4-b,"a3-nem4-b,+x (10) <--> a5-nem4-b,-x (13)","a3-nem4-b,+x (10) <--> a5-nem4-b,-x (13)","a3-nem4-b,+x <--> a5-nem4-b,-x"
a4-nem1-a,10,+x,a6-nem1-a,"a4-nem1-a,+x (10) <--> a6-nem1-a,-x (13)","a4-nem1-a,+x (10) <--> a6-nem1-a,-x (13)","a4-nem1-a,+x <--> a6-nem1-a,-x"
a4-nem1-b,10,+x,a6-nem1-b,"a4-nem1-b,+x (10) <--> a6-nem1-b,-x (13)","a4-nem1-b,+x (10) <--> a6-nem1-b,-x (13)","a4-nem1-b,+x <--> a6-nem1-b,-x"
a4-nem2-a,10,+x,a6-nem2-a,"a4-nem2-a,+x (10) <--> a6-nem2-a,-x (13)","a4-nem2-a,+x (10) <--> a6-nem2-a,-x (13)","a4-nem2-a,+x <--> a6-nem2-a,-x"
a4-nem2-b,10,+x,a6-nem2-b,"a4-nem2-b,+x (10) <--> a6-nem2-b,-x (13)","a4-nem2-b,+x (10) <--> a6-nem2-b,-x (13)","a4-nem2-b,+x <--> a6-nem2-b,-x"
a4-nem3-a,10,+x,a6-nem3-a,"a4-nem3-a,+x (10) <--> a6-nem3-a,-x (13)","a4-nem3-a,+x (10) <--> a6-nem3-a,-x (13)","a4-nem3-a,+x <--> a6-nem3-a,-x"
a4-nem3-b,10,+x,a6-nem3-b,"a4-nem3-b,+x (10) <--> a6-nem3-b,-x (13)","a4-nem3-b,+x (10) <--> a6-nem3-b,-x (13)","a4-nem3-b,+x <--> a6-nem3-b,-x"
a4-nem4-a,10,+x,a6-nem4-a,"a4-nem4-a,+x (10) <--> a6-nem4-a,-x (13)","a4-nem4-a,+x (10) <--> a6-nem4-a,-x (13)","a4-nem4-a,+x <--> a6-nem4-a,-x"
a4-nem4-b,10,+x,a6-nem4-b,"a4-nem4-b,+x (10) <--> a6-nem4-b,-x (13)","a4-nem4-b,+x (10) <--> a6-nem4-b,-x (13)","a4-nem4-b,+x <--> a6-nem4-b,-x"
a5-nem1-a,10,+x,a1-nem1-a,"a5-nem1-a,+x (10) <--> a1-nem1-a,-x (13)","a5-nem1-a,+x (10) <--> a1-nem1-a,-x (13)","a5-nem1-a,+x <--> a1-nem1-a,-x"
a5-nem1-b,10,+x,a1-nem1-b,"a5-nem1-b,+x (10) <--> a1-nem1-b,-x (13)","a5-nem1-b,+x (10) <--> a1-nem1-b,-x (13)","a5-nem1-b,+x <--> a1-nem1-b,-x"
a5-nem2-a,10,+x,a1-nem2-a,"a5-nem2-a,+x (10) <--> a1-nem2-a,-x (13)","a5-nem2-a,+x (10) <--> a1-nem2-a,-x (13)","a5-nem2-a,+x <--> a1-nem2-a,-x"
a5-nem2-b,10,+x,a1-nem2-b,"a5-nem2-b,+x (10) <--> a1-nem2-b,-x (13)","a5-nem2-b,+x (10) <--> a1-nem2-b,-x (13)","a5-nem2-b,+x <--> a1-nem2-b,-x"
a5-nem3-a,10,+x,a1-nem3-a,"a5-nem3-a,+x (10) <--> a1-nem3-a,-x (13)","a5-nem3-a,+x (10) <--> a1-nem3-a,-x (13)","a5-nem3-a,+x <--> a1-nem3-a,-x"
a5-nem3-b,10,+x,a1-nem3-b,"a5-nem3-b,+x (10) <--> a1-nem3-b,-x (13)","a5-nem3-b,+x (10) <--> a1-nem3-b,-x (13)","a5-nem3-b,+x <--> a1-nem3-b,-x"
a5-nem4-a,10,+x,a1-nem4-a,"a5-nem4-a,+x (10) <--> a1-nem4-a,-x (13)","a5-nem4-a,+x (10) <--> a1-nem4-a,-x (13)","a5-nem4-a,+x <--> a1-nem4-a,-x"
a5-nem4-b,10,+x,a1-nem4-b,"a5-nem4-b,+x (10) <--> a1-nem4-b,-x (13)","a5-nem4-b,+x (10) <--> a1-nem4-b,-x (13)","a5-nem4-b,+x <--> a1-nem4-b,-x"
a6-nem1-a,10,+x,a2-nem1-a,"a6-nem1-a,+x (10) <--> a2-nem1-a,-x (13)","a6-nem1-a,+x (10) <--> a2-nem1-a,-x (13)","a6-nem1-a,+x <--> a2-nem1-a,-x"
a6-nem1-b,10,+x,a2-nem1-b,"a6-nem1-b,+x (10) <--> a2-nem1-b,-x (13)","a6-nem1-b,+x (10) <--> a2-nem1-b,-x (13)","a6-nem1-b,+x <--> a2-nem1-b,-x"
a6-nem2-a,10,+x,a2-nem2-a,"a6-nem2-a,+x (10) <--> a2-nem2-a,-x (13)","a6-nem2-a,+x (10) <--> a2-nem2-a,-x (13)","a6-nem2-a,+x <--> a2-nem2-a,-x"
a6-nem2-b,10,+x,a2-nem2-b,"a6-nem2-b,+x (10) <--> a2-nem2-b,-x (13)","a6-nem2-b,+x (10) <--> a2-nem2-b,-x (13)","a6-nem2-b,+x <--> a2-nem2-b,-x"
a6-nem3-a,10,+x,a2-nem3-a,"a6-nem3-a,+x (10) <--> a2-nem3-a,-x (13)","a6-nem3-a,+x (10) <--> a2-nem3-a,-x (13)","a6-nem3-a,+x <--> a2-nem3-a,-x"
a6-nem3-b,10,+x,a2-nem3-b,"a6-nem3-b,+x (10) <--> a2-nem3-b,-x (13)","a6-nem3-b,+x (10) <--> a2-nem3-b,-x (13)","a6-nem3-b,+x <--> a2-nem3-b,-x"
a6-nem4-a,10,+x,a2-nem4-a,"a6-nem4-a,+x (10) <--> a2-nem4-a,-x (13)","a6-nem4-a,+x (10) <--> a2-nem4-a,-x (13)","a6-nem4-a,+x <--> a2-nem4-a,-x"
a6-nem4-b,10,+x,a2-nem4-b,"a6-nem4-b,+x (10) <--> a2-nem4-b,-x (13)","a6-nem4-b,+x (10) <--> a2-nem4-b,-x (13)","a6-nem4-b,+x <--> a2-nem4-b,-x"
b1-nem1-a,10,+x,b3-nem1-a,"b1-nem1-a,+x (10) <--> b3-nem1-a,-x (13)","b1-nem1-a,+x (10) <--> b3-nem1-a,-x (13)","b1-nem1-a,+x <--> b3-nem1-a,-x"
