host,row,col,rack,shelf,slot,x,y,z,section,ibport,partner,bootnode
a1-cmm1,a,1,a1,1,,0,0,,1,,,
a1-cmm2,a,1,a1,2,,0,0,,1,,,
a1-cmm3,a,1,a1,3,,0,0,,1,,,
a1-cmm4,a,1,a1,4,,0,0,,1,,,
a10-cmm1,a,10,a10,1,,3,7,,3,,,
a10-cmm2,a,10,a10,2,,3,7,,3,,,
a10-cmm3,a,10,a10,3,,3,7,,3,,,
a10-cmm4,a,10,a10,4,,3,7,,3,,,
a2-cmm1,a,2,a2,1,,0,7,,1,,,
a2-cmm2,a,2,a2,2,,0,7,,1,,,
a2-cmm3,a,2,a2,3,,0,7,,1,,,
a2-cmm4,a,2,a2,4,,0,7,,1,,,
a3-cmm1,a,3,a3,1,,1,0,,2,,,
a3-cmm2,a,3,a3,2,,1,0,,2,,,
a3-cmm3,a,3,a3,3,,1,0,,2,,,
a3-cmm4,a,3,a3,4,,1,0,,2,,,
a4-cmm1,a,4,a4,1,,1,7,,2,,,
a4-cmm2,a,4,a4,2,,1,7,,2,,,
a4-cmm3,a,4,a4,3,,1,7,,2,,,
a4-cmm4,a,4,a4,4,,1,7,,2,,,
a5-cmm1,a,5,a5,1,,4,0,,2,,,
a5-cmm2,a,5,a5,2,,4,0,,2,,,
a5-cmm3,a,5,a5,3,,4,0,,2,,,
a5-cmm4,a,5,a5,4,,4,0,,2,,,
a6-cmm1,a,6,a6,1,,4,7,,2,,,
a6-cmm2,a,6,a6,2,,4,7,,2,,,
a6-cmm3,a,6,a6,3,,4,7,,2,,,
a6-cmm4,a,6,a6,4,,4,7,,2,,,
a7-cmm1,a,7,a7,1,,2,0,,3,,,
a7-cmm2,a,7,a7,2,,2,0,,3,,,
a7-cmm3,a,7,a7,3,,2,0,,3,,,
a7-cmm4,a,7,a7,4,,2,0,,3,,,
a8-cmm1,a,8,a8,1,,2,7,,3,,,
a8-cmm2,a,8,a8,2,,2,7,,3,,,
a8-cmm3,a,8,a8,3,,2,7,,3,,,
a8-cmm4,a,8,a8,4,,2,7,,3,,,
a9-cmm1,a,9,a9,1,,3,0,,3,,,
a9-cmm2,a,9,a9,2,,3,0,,3,,,
a9-cmm3,a,9,a9,3,,3,0,,3,,,
a9-cmm4,a,9,a9,4,,3,0,,3,,,
admin1,a,1,a1,2,2,0,0,2,1,20,rs20,jumpnode1
admin1-man,,,,,,,,,,,,
admin1-sp,a,1,a1,2,2,0,0,2,1,20,rs20,jumpnode1
admin2,b,1,b1,3,4,0,1,4,1,24,rs102,jumpnode1
admin2-man,,,,,,,,,,,,
admin2-sp,b,1,b1,3,4,0,1,4,1,24,rs102,jumpnode1
admin3,c,1,c1,1,0,0,2,0,1,16,rs125,jumpnode1
admin3-man,,,,,,,,,,,,
admin3-sp,c,1,c1,1,0,0,2,0,1,16,rs125,jumpnode1
admin4,b,2,b2,4,0,0,6,6,1,16,rs370,jumpnode1
admin4-man,,,,,,,,,,,,
admin4-sp,b,2,b2,4,0,0,6,6,1,16,rs370,jumpnode1
b1-cmm1,b,1,b1,1,,0,1,,1,,,
b1-cmm2,b,1,b1,2,,0,1,,1,,,
b1-cmm3,b,1,b1,3,,0,1,,1,,,
b1-cmm4,b,1,b1,4,,0,1,,1,,,
b10-cmm1,b,10,b10,1,,3,6,,3,,,
b10-cmm2,b,10,b10,2,,3,6,,3,,,
b10-cmm3,b,10,b10,3,,3,6,,3,,,
b10-cmm4,b,10,b10,4,,3,6,,3,,,
b2-cmm1,b,2,b2,1,,0,6,,1,,,
b2-cmm2,b,2,b2,2,,0,6,,1,,,
b2-cmm3,b,2,b2,3,,0,6,,1,,,
b2-cmm4,b,2,b2,4,,0,6,,1,,,
b3-cmm1,b,3,b3,1,,1,1,,2,,,
b3-cmm2,b,3,b3,2,,1,1,,2,,,
b3-cmm3,b,3,b3,3,,1,1,,2,,,
b3-cmm4,b,3,b3,4,,1,1,,2,,,
b4-cmm1,b,4,b4,1,,1,6,,2,,,
b4-cmm2,b,4,b4,2,,1,6,,2,,,
b4-cmm3,b,4,b4,3,,1,6,,2,,,
b4-cmm4,b,4,b4,4,,1,6,,2,,,
b5-cmm1,b,5,b5,1,,4,1,,2,,,
b5-cmm2,b,5,b5,2,,4,1,,2,,,
b5-cmm3,b,5,b5,3,,4,1,,2,,,
b5-cmm4,b,5,b5,4,,4,1,,2,,,
b6-cmm1,b,6,b6,1,,4,6,,2,,,
b6-cmm2,b,6,b6,2,,4,6,,2,,,
b6-cmm3,b,6,b6,3,,4,6,,2,,,
b6-cmm4,b,6,b6,4,,4,6,,2,,,
b7-cmm1,b,7,b7,1,,2,1,,3,,,
b7-cmm2,b,7,b7,2,,2,1,,3,,,
b7-cmm3,b,7,b7,3,,2,1,,3,,,
b7-cmm4,b,7,b7,4,,2,1,,3,,,
b8-cmm1,b,8,b8,1,,2,6,,3,,,
b8-cmm2,b,8,b8,2,,2,6,,3,,,
b8-cmm3,b,8,b8,3,,2,6,,3,,,
b8-cmm4,b,8,b8,4,,2,6,,3,,,
b9-cmm1,b,9,b9,1,,3,1,,3,,,
b9-cmm2,b,9,b9,2,,3,1,,3,,,
b9-cmm3,b,9,b9,3,,3,1,,3,,,
b9-cmm4,b,9,b9,4,,3,1,,3,,,
boot1,a,1,a1,1,10,0,0,1,1,24,rs14,admin1
boot1-man,,,,,,,,,,,,
boot1-sp,a,1,a1,1,10,0,0,1,1,24,rs14,admin1
boot2,b,1,b1,3,0,0,1,4,1,16,rs98,admin1
boot2-man,,,,,,,,,,,,
boot2-sp,b,1,b1,3,0,0,1,4,1,16,rs98,admin1
boot3,b,1,b1,4,0,0,1,6,1,16,rs112,admin1
boot3-man,,,,,,,,,,,,
boot3-sp,b,1,b1,4,0,0,1,6,1,16,rs112,admin1
boot4,c,1,c1,3,6,0,2,5,1,16,rs162,admin1
boot4-man,,,,,,,,,,,,
boot4-sp,c,1,c1,3,6,0,2,5,1,16,rs162,admin1
boot5,a,2,a2,2,10,0,7,3,1,24,rs288,admin1
boot5-man,,,,,,,,,,,,
boot5-sp,a,2,a2,2,10,0,7,3,1,24,rs288,admin1
boot6,b,2,b2,1,0,0,6,0,1,16,rs325,admin1
boot6-man,,,,,,,,,,,,
boot6-sp,b,2,b2,1,0,0,6,0,1,16,rs325,admin1
boot7,b,2,b2,2,0,0,6,2,1,16,rs339,admin1
