route,dest
"0,1,7,7,1,28,7,36",c2-nem1-b
"0,1,4,4,4,1,4,17",rs457
"0,1,7,7,1,28,7,1,25",oss-scratch24
"0,1,7,1,24",rs272
"0,1,7,7,28,21",rs349
"0,1,7,7,7,1,13,21",rs1541
"0,1,7,7,1,28,7,35",c2-nem1-b
"0,1,7,7,1,28,7,31",c2-nem1-b
"0,1,4,4,1,28,4,2,11",d3-nem4-b
"0,1,10,4,16",rs610
"0,1,4,4,4,1,4,24",rs462
"0,1,13,7,28,7,19",rs1485
"0,1,7,7,20",rs342
"0,1,4,1,10,28,25",rs599
"0,1,28,4,1,24",rs102
"0,1,7,7,13,7,28,24",rs1560
"0,1,28,7,21",oss-scratch14
"0,1,7,7,25",oss-scratch18
"0,1,7,7,28,7,16",rs408
"0,1,10,7,28,17",rs835
"0,1,4,4,1,28,4,1,21",rs255
"0,1,10,20",rs542
"0,1,10,19",rs541
"0,1,10,18",rs540
"0,1,4,4,1,28,13,1,28,21",rs1299
"0,1,7,7,7,1,13,7,17",rs1609
"0,1,7,7,1,28,7,30",c2-nem1-b
"0,1,7,7,1,28,7,32",c2-nem1-b
"0,1,7,7,10,7,28,18",rs980
"0,1,28,7,1,10,17",rs845
"0,1,7,1,21",oss-scratch13
"0,1,7,7,7,1,13,17",rs1537
"0,1,13,7,28,7,2,7,20",rs1568
"0,1,7,7,28,7,19",rs410
"0,1,13,7,28,7,21",rs1487
"0,1,4,1,10,4",c3-nem1-b
"0,1,1,28,10,16",rs520
"0,1,7,7,10,7,1,13",c2-nem1-b
"0,1,1,28,17",oss-scratch1
"0,1,7,7,10,7,28,26",rs986
"0,1,7,7,28,25",rs351
"0,1,7,7,1,28,7,34",c2-nem1-b
"0,1,10,4,28,4,16",rs690
"0,1,7,7,7,1,19",rs395
"0,1,7,7,28,27",rs353
"0,1,7,7,10,7,1,14",c2-nem1-b
"0,1,4,4,28,4,4,17",rs475
"0,1,4,4,28,4,3",d1-nem3-a
"0,1,7,1,20",rs271
"0,1,28,1,25",rs37
"0,1,7,24",rs281
"0,1,7,7,1,28,7,29",c2-nem1-b
"0,1,4,4,28,4,4,16",rs474
"0,1,7,7,7,7,25",rs473
"0,1,1,28,13,1,17",rs1159
"0,1,7,1,10,7,21",rs893
"0,1,4,4,1,28,4,1,4",d2-nem4-b
"0,1,7,7,10,7,28,7,26",rs1058
"0,1,1,28,4,1,28,25",oss-home1
"0,1,7,1,10,7,18",rs890
"0,1,7,7,13,7,28,16",rs1554
"0,1,7,7,1,28,7,28",c2-nem1-b
"0,1,4,4,17",rs140
"0,1,7,1,13,28,17",rs1385
"0,1,4,4,1,28,4,2,13,25",rs1381
"0,1,10,4,28,4",c3-nem2-b
"0,1,7,7,13,7,25",rs1553
"0,1,7,7,19",rs341
"0,1,7,1,13,28,16",rs1384
"0,1,13,7,28,7,17",rs1483
"0,1,7,1,13,28,25",rs1391
"0,1,7,7,1,28,7,33",c2-nem1-b
"0,1,4,4,1,28,4,1,10,26",rs806
"0,1,4,1,10,27",rs609
"0,1,7,7,7,7,18",rs468
"0,1,1,28,7,1,7,17",oss-home2
"0,1,4,1,10,18",rs602
"0,1,13,7,28,7,25",rs1489
"0,1,28,4,17",rs90
"0,1,4,1,10,4,26",rs680
"0,1,7,7,1,28,7,19",rs387
"0,1,7,7,7,1,13,7,19",rs1611
"0,1,7,1,13,28,20",rs1388
"0,1,1,28,13,1,28,19",rs1153
"0,1,28,4,1,4,28,1,17",oss-scratch12
"0,1,7,1,13,7,19",rs1467
"0,1,13,4,28,4,1,4,24",rs1354
"0,1,28,27",rs30
"0,1,7,7,1,24",rs335
"0,1,7,7,7,7,19",rs469
"0,1,7,7,28,16",rs344
"0,1,4,1,10,28,21",rs597
"0,1,7,7,10,7,1,15",c2-nem1-b
"0,1,1,28,13,1,24",rs1164
"0,1,7,7,7,7,17",rs467
"0,1,4,4,4,1,4,26",rs464
"0,1,1,28,13,1,28,21",rs1155
"0,1,7,7,10,7,28,24",rs984
"0,1,10,7,28,7,25",rs913
"0,1,7,7,7,7,20",rs470
"0,1,7,7,10,7,28,25",rs985
"0,1,4,4,4,4,2,17",rs457
"0,1,7,7,7,7,24",rs472
"0,1,28,7,1,25",rs298
"0,1,28,4,18",rs91
"0,1,7,7,28,20",rs348
"0,1,4,1,10,28,20",rs596
"0,1,7,7,16",rs339
"0,1,7,7,7,1,13,7,21",rs1613
"0,1,7,7,7,7,21",rs471
"0,1,7,7,7,1,13,7,16",rs1608
"0,1,10,7,28,7,20",rs910
"0,1,28,7,2,7,28,17",login4
"0,1,1,28,4,1,13,27",rs1239
"0,1,4,4,28,4,1,18",rs226
"0,1,7,1,13,7,24",rs1470
"0,1,28,4,1,20",rs101
"0,1,4,4,28,4,17",rs215
"0,1,7,7,1,28,7,24",rs390
"0,1,1,28,4,1,28,19",rs114
"0,1,13,4,28,4,1,4,28,1,18",rs1368
"0,1,7,1,10,7,27",rs897
"0,1,1,28,10,1,20",rs586
"0,1,10,7,28,7,1,7,28,1,20",rs1010
"0,1,7,19",rs278
"0,1,7,20",rs279
"0,1,1,28,1,17",login1
"0,1,28,1,21",rs35
"0,1,7,25",rs282
"0,1,7,18",rs277
"0,1,7,7,7,1,27",rs400
"0,1,28,7,20",rs287
"0,1,7,7,1,17",login3
"0,1,28,7,24",rs288
"0,1,7,1,19",rs270
"0,1,28,7,26",rs289
"0,1,4,4,28,17",login2
"0,1,4,4,1,28,4,3",d1-nem4-b
"0,1,13,4,28,4,4",d5-nem2-b
"0,1,7,1,10,16",rs816
"0,1,7,7,7,1,10,26",rs968
"0,1,7,7,28,7,24",rs413
"0,1,7,1,10,28,25",rs815
"0,1,7,7,10,25",rs905
